title,year,original_language
Lord for a Night,1946,ja
Iki na fûraibô,1946,ja
The Brick Factory Girl,1946,ja
A Descendant of Urashima Taro,1946,ja
Marriage,1947,ja
Actress,1947,ja
Night Inn,1947,zh
Portrait of Four Beauties,1947,zh
G-Men of Japan,1948,ja
Women of the Night,1948,ja
The Most Beautiful Day of My Life,1948,ja
Children Hand in Hand,1948,ja
The Virgin Who Embraced the Rainbow,1948,ja
Twenty-One Fingerprints,1948,ja
Bright Day,1948,zh
The Blue Mountains: Part I,1949,ja
At the Time Men Have Seen Blood,1949,ja
Broken Drum,1949,ja
The Winter of Three Hairs,1949,zh
A Fool's Love,1949,ja
G-men of Japan 2: Bloody Duel at Shipwreck Cape,1950,ja
Fencing Master,1950,ja
Zhao Yiman,1950,zh
Listen to the Voices of the Sea,1950,ja
Street of Violence,1950,ja
Escape at Dawn,1950,ja
The Inner Palace Conspiracy,1951,ja
Should They Marry?,1951,zh
Pure White Nights,1951,ja
Freedom School,1951,ja
"Miki, the Swordman",1951,ja
Jirocho Rises in Fame,1952,ja
Big Hit Pachinko Girl,1952,ja
Kin no tamago: Golden Girl,1952,ja
Meal Time,1953,zh
Bright Day,1953,zh
Girls in the Orchard,1953,ja
Ka,1954,ja
Sakuma Damu,1954,ja
Twilight Saloon,1955,ja
Brooba,1955,ja
The Birth of Frogs,1955,ja
Yangsan Province,1955,ko
A Farmer's Wife,1955,ja
The Rose on His Arm,1956,ja
Samurai of the Great Earth,1956,ja
An Osaka Story,1957,ja
Flying in the Air,1957,ja
Yagyu Secret Scrolls,1957,ja
The Snowy Heron,1958,ja
Underwater Murder,1958,ja
Holiday in Tokyo,1958,ja
You Are My Soul,1958,zh
"Gaudi, Catalunya",1959,ja
Love Affairs of a Confirmed Bachelor,1959,zh
Ayausgî G-Man - ânkoku gai no yagû,1960,ja
Back Door,1960,zh
Malayan Affair,1960,zh
Beauty Parade,1961,zh
Education of Love,1961,zh
Case of Umon: The Nanbanzame Murders,1961,ja
Satan's Sword III: The Final Chapter,1961,ja
T-shi no gogo,1962,ja
B.G. monogatari: Ekinyūmon,1962,ja
G-Men in the Pacific,1962,ja
In So Long,1962,ko
MALE,1962,ja
Detective Bureau 2-3: A Man Weak to Money and Women,1963,ja
Doggie March,1963,ja
Tetsujin 28-gou: The Birth,1964,ja
A Story from Echigo,1964,ja
Squadron 77,1965,zh
The Grand Substitution,1965,zh
买牛,1965,zh
Mysterious Medicine,1965,ja
Kill the Night Rose,1966,ja
The Woodpecker Plan,1966,ja
Nameless Grass,1966,ko
The Knight of Knights,1966,zh
Traces,1967,ko
Bed Dance,1967,ja
Koroshi,1968,ja
Genesis,1968,ja
The Little Warrior,1969,zh
Killers Five,1969,zh
The Three Smiles,1969,zh
Yonaki Hada,1969,ja
Son of the Swordsman,1970,zh
Attack No. 1 - Tear Rotation Receive,1970,ja
Ripples,1970,zh
Magic Feeding,1970,zh
Tsugaru Yomeko: Nippon porno Monogatari,1970,ja
"Sex Comedy, Quick on the Trigger",1971,ja
Good-Bye,1971,ja
Young sex: Rankô shori,1972,ja
The Warlord,1972,zh
Kamen Rider V3: The Movie,1973,ja
Dangerous Trade in Kobe,1973,ja
Illicit Desire,1973,zh
The Angry Hero,1973,zh
Sunset Sunrise,1973,ja
Kamen Rider X: The Movie,1974,ja
Mazinger Z vs. Doctor Hell,1974,ja
A Young Lady's Resentment,1974,ko
Love Is in the Green Wind,1974,ja
Yakuza vs. Gang Leader,1974,ja
The Scoundler vs. The Viper Brothers,1974,ja
News Hen,1974,zh
UFO Robot Grendizer Theatrical Version,1975,ja
Poruno repōto: Sex shikakenin,1975,ja
Lesbian World: Fondling,1975,ja
The Gambling Syndicate,1975,zh
Dark Lady สตรีที่โลกลืม,1975,th
Lady Moonflower,1976,ja
UFO Robot Grendizer vs. Great Mazinger,1976,ja
Manhunt,1976,ja
New Female Prisoner Scorpion: Special Cellblock X,1977,ja
The Story of Big 1: Sadaharu Oh,1977,ja
Eros School: Feels So Good,1977,ja
Lady Exterminator,1977,zh
Thousand Miles Escort,1977,zh
Miss O's Apartment,1978,ko
Ubekosei,1978,ja
J.A.K.Q. Dengekitai vs. Gorenger,1978,ja
Golden Mannequins,1978,th
Sci-Fi West Saga Starzinger,1979,ja
"Oh, My Son!",1979,ja
The Last Game,1979,ja
Starzinger: The Nightmare of Energy,1979,ja
Koichiro Uno's Female Gymnastic Teacher,1979,ja
Raiding Party,1979,ko
Distortion: Screw,1980,ja
Night Office Lady: Thigh-Wrenching,1980,ja
Aerial Replacement,1980,ja
Good Luck Love,1981,ja
My Champion,1981,ja
Female Teacher in Rope Hell,1981,ja
Morning Moon Is Cruel,1981,ja
Nympho Diver: G-String Festival,1981,ja
Private First Class,1981,zh
Oh! Takarazuka,1982,ja
Starbirds,1982,ja
Ghost Stories,1982,zh
Computer Wars ISAMI,1982,ja
Dojo Breaker,1982,ja
The Magic Ballad,1982,ja
Sergeant Hsiung,1982,zh
Sailor Uniform: Lily Lovers 2,1983,ja
Choro Q Dougram,1983,ja
The Samurai and the Secret of the Flower,1983,ja
Modori River,1983,ja
Nausicaä of the Valley of the Wind,1984,ja
Godzilla Fantasia,1984,ja
Joshidai-ryō VS kango gakuen-ryō,1984,ja
Heaven Station,1984,ja
Sotsugyou -GRADUATION-,1985,ja
Clara White Paper - ShohjotaiPHOON!,1985,ja
Time Patrol,1985,ja
Dream Hunter Rem,1985,ja
Mr. Pen Pen,1986,ja
Pro Golfer Saru: Super Golf World e no Chousen!!,1986,ja
Superdimensional Romanesque Samy: Missing 99,1986,ja
"Hello, Kids!",1986,ja
Space-Time Traveler - Time Stranger,1986,ja
Heavy Metal L-Gaim I: Pentagona Window + Lady Gavlet,1986,ja
Go Go Toraemon,1986,ja
Holey Pants: Desire on a Stroll,1987,ja
TWD Express: Rolling Takeoff,1987,ja
Shan Que‘er,1987,zh
Door,1988,ja
Fukashigi monogatari: Fantastic Collection,1988,ja
Mini Yon Soldier Rin!,1989,ja
Racing Circuit Romance Twin,1989,ja
Urotsukidōji: Legend of the Overfiend,1989,ja
Dragon Ball Z: Bardock - The Father of Goku,1990,ja
Ultra Q: Goro and Goro,1990,ja
Office Ladies Remodelling Lecture,1990,ja
Laughing Corps,1990,zh
Mr. Lady Cinderella at Dawn,1990,ja
Mr. Gosuto ni Yoroshiku,1991,ja
Inferious Interplanetary War Chronicle - Condition Green,1991,ja
Devil's Vendetta,1991,zh
BARA-BA LOVER BOY,1991,ja
Pretty Girls,1991,ja
Iron Virgin Jun,1992,ja
Midori,1992,ja
"Puck / Memories of You (Moon Troupe, 1992)",1992,ja
Crying Freeman 5: Abduction in Chinatown,1992,ja
Rokudenashi BLUES,1992,ja
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,ja
T-CITY,1993,ja
Dragon Ball Z: Broly - Second Coming,1994,ja
Ninja Sentai Kakuranger: The Movie,1994,ja
Female Ninjas Magic Chronicles 4: Rebel Forces at the Threshold,1994,ja
Ranma 1/2: Team Ranma vs. the Legendary Phoenix,1994,ja
Kiriko,1994,ja
Nastazja,1994,ja
XX: Beautiful Target,1995,ja
The King of Minami: Sham Marriage,1995,ja
That's Cunning! Shijo Saidai no Sakusen?,1996,ja
The Trap,1996,ja
Lady Ninja: Reflections of Darkness,1996,ja
Megalopolis Express Way Trial Max,1996,ja
Ninja Cadets,1996,ja
The King of Minami: Waiting Woman,1997,ja
Kôzuki Yaya: CLONEz,1997,ja
New Third Gangster VI,1997,ja
Women 2,1997,ja
Chinese Erotic Movies,1997,zh
Pokémon: The First Movie,1998,ja
Yamato Nadeshiko,1998,ja
Zenmai,1998,ja
Marco: Carry a Dream,1999,ja
New Third Gangster X,1999,ja
Sailor Moon SuperS Memorial,1999,ja
Pokémon the Movie 2000,1999,ja
Doctor K,1999,ko
One Piece! 水玉 COLLECTION,1999,ja
GAMERA 1999,1999,ja
Kamome,2000,ja
Kirara,2000,ja
Mayerling / Glorious!!,2000,ja
Prisoner of Zenda / Jazzmania,2000,ja
Pokémon: Mewtwo Returns,2001,ja
Saiyuki: Requiem,2001,ja
Hero,2002,zh
Arita,2002,ja
Naruto: The Lost Story - Mission: Protect the Waterfall Village!,2003,ja
SHORT FILMS,2003,ja
Fighting Spirit - Mashiba vs. Kimura,2003,ja
Aizome Kyôko vs Kikuchi Eri: daburu G supotto,2003,ja
Bella Grazie,2004,ja
Naruto OVA 3: Hidden Leaf Village Grand Sports Festival!,2004,ja
Takarazuka's Dancing Dreams!,2004,ja
Always - Sunset on Third Street,2005,ja
Harami: White Fear,2005,ja
Super Star Fleet Sazer-X the Movie: Fight! Star Warriors,2005,ja
Digimon Savers 3D: The Digital World in Imminent Danger!,2006,ja
Otome wa Boku ni Koishiteru Special,2007,ja
Schoolboy Crush,2007,ja
Hero,2007,ja
Siren X,2008,ja
Spooky Kitaro: Youkai Japan Rally 3D,2008,ja
Operation Love Special,2008,ja
Yes! Precure 5 Go Go! Movie: Happy Birthday in the Land of Sweets,2008,ja
Johnen: Love of Sada,2008,ja
Pokémon: Arceus and the Jewel of Life,2009,ja
Mobile Suit Gundam 00 Special Edition I: Celestial Being,2009,ja
Terminator Zan Kill,2009,ja
X Game,2010,ja
Atashin'chi: The 3D Movie,2010,ja
TENBATSU,2010,ja
Neck,2010,ja
Mr. Idol,2011,ko
Magister Negi Magi: Anime Final,2011,ja
GARO - Kiba: The Dark Knight,2011,ja
Golden Daddy,2011,zh
Berserk: The Golden Age Arc I - The Egg of the King,2012,ja
Kamen Rider × Super Sentai: Super Hero Trouble – Who’s the culprit?!,2012,ja
"Go, Masao!",2012,ja
Rememberance of MB,2012,ko
Macross FB7: Listen to My Song!,2012,ja
Young Mother,2013,ko
Pretty Cure All Stars New Stage 2: Friends from the Heart,2013,ja
Fate/kaleid liner Prisma☆Illya: Dance at the Sports Festival!,2014,ja
Young Mother 2,2014,ko
Girl's Blood,2014,ja
The Story of Ong-nyeo,2014,ko
Fate/kaleid liner Prisma☆Illya 2wei!: Magical Girl in Hot Springs Inn,2015,ja
Mom's Friend,2015,ko
Buddy's Mom,2015,ko
Married Women,2015,ko
Female War: A Nasty Deal,2015,ko
My Friend's Mom,2016,ko
Russian Mom,2016,ko
RE:BORN,2016,ja
HK: Hentai Kamen 2 - Abnormal Crisis,2016,ja
Young Mother: The Original,2016,ko
Japanese Mom,2017,ko
Sex Plate 17,2017,ko
Mother's Job,2017,ko
The Outlaws,2017,ko
Swapping: My Friend's Wife 2,2018,ko
Kamen Rider Ex-Aid Trilogy: Another Ending - Kamen Rider Para-DX with Poppy,2018,ja
Utano Princesama Maji LOVE Kingdom,2019,ja
Swapping: Perfect Neighbor,2019,ko
Laidbackers,2019,ja
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,ja
Housemaid Mom,2020,ko
Bosomy Mom 2,2020,ko
Just A Bite,2020,ko
Obscene House: Slave Wife,2020,ko
Secret × Heroine Phantomirage! ~We've Become a Movie~,2020,ja
The Sadness,2021,zh
남친깨기전에빨리빼!,2021,ko
Aunt,2021,ko
Fist of Fury: Soul,2021,zh
DOORS,2021,ja
Eureka: Eureka Seven Hi-Evolution,2021,ja
The Cursed Sanctuary X,2021,ja
Fruits Basket -prelude-,2022,ja
The Roundup,2022,ko
camrip,2022,zh
The King of Snipers,2023,zh
Perfect Days,2023,ja
Solo Leveling -ReAwakening-,2024,ja
"Woman who married into a farm family, fine fingers of a future wife",2024,ja
The Shadow's Edge,2025,zh
Bang,2025,th
Chainsaw Man - The Movie: Reze Arc,2025,ja
